Key,File,Type,English
TwitchAction_SpawnRocketRobinCommand,twitch,Actions,#spawn_rocket_robin
TwitchAction_SpawnRocketRobin,twitch,Actions,Rocket Robin
TwitchAction_SpawnRocketRobinDesc,twitch,Actions,Spawns a Big Mama that spits rockets.
TwitchAction_SpawnZombieDecoyCommand,twitch,Actions,#spawn_zombie_decoy
TwitchAction_SpawnZombieDecoy,twitch,Actions,Zombie Decoy
TwitchAction_SpawnZombieDecoyDesc,twitch,Actions,Spawns a zombie that buffs all other zombies in range.
TwitchAction_SpawnPatientZeroCommand,twitch,Actions,#spawn_patient_zero
TwitchAction_SpawnPatientZero,twitch,Actions,Patient Zero
TwitchAction_SpawnPatientZeroDesc,twitch,Actions,Spawns a zombie that irradiates the area around it.
TwitchAction_SpawnBoneBusterCommand,twitch,Actions,#spawn_bone_buster
TwitchAction_SpawnBoneBuster,twitch,Actions,Bone Buster
TwitchAction_SpawnBoneBusterDesc,twitch,Actions,Spawns a zombie with bone crushing abilities.
TwitchAction_SpawnMagicMikeCommand,twitch,Actions,#spawn_magic_mike
TwitchAction_SpawnMagicMike,twitch,Actions,Magic Mike
TwitchAction_SpawnMagicMikeDesc,twitch,Actions,Spawns a zombie that resets the player's skill points on hit.
TwitchAction_SpawnMummyCommand,twitch,Actions,#spawn_mummy
TwitchAction_SpawnMummy,twitch,Actions,Mummy
TwitchAction_SpawnMummyDesc,twitch,Actions,Spawns a Mummy that heals itself over time.
TwitchAction_SpawnGungHoJoeCommand,twitch,Actions,#spawn_gungho_joe
TwitchAction_SpawnGungHoJoe,twitch,Actions,Gung-Ho Joe
TwitchAction_SpawnGungHoJoeDesc,twitch,Actions,Spawns a legendary soldier zombie
TwitchAction_SpawnDeathCrawlerCommand,twitch,Actions,#spawn_death_crawler
TwitchAction_SpawnDeathCrawler,twitch,Actions,Death Crawler
TwitchAction_SpawnDeathCrawlerDesc,twitch,Actions,Spawns a crawler zombie that will cause instant death to the player on hit.
TwitchAction_SpawnLichCommand,twitch,Actions,#spawn_lich
TwitchAction_SpawnLich,twitch,Actions,Lich
TwitchAction_SpawnLichDesc,twitch,Actions,Spawns a Lich zombie. Heals over time and does massive damage on hit.
TwitchAction_SpawnBatWitchCommand,twitch,Actions,#spawn_bat_witch
TwitchAction_SpawnBatWitch,twitch,Actions,Bat Witch
TwitchAction_SpawnBatWitchDesc,twitch,Actions,Spawns a screamer zombie and a cloud of itty bitty bats.
TwitchAction_SpawnWightSpiderCommand,twitch,Actions,#spawn_wight_spider
TwitchAction_SpawnWightSpider,twitch,Actions,Wight Spider
TwitchAction_SpawnWightSpiderDesc,twitch,Actions,Spawns a legendary Wight zombie that moves like a spider.
TwitchAction_SpawnLuciferCommand,twitch,Actions,#spawn_lucifer
TwitchAction_SpawnLucifer,twitch,Actions,Lucifer
TwitchAction_SpawnLuciferDesc,twitch,Actions,Spawns the King of Hell.
TwitchAction_SpawnMutantCubCommand,twitch,Actions,#spawn_mutant_cub
TwitchAction_SpawnMutantCub,twitch,Actions,Mutant Cub
TwitchAction_SpawnMutantCubDesc,twitch,Actions,Spawns a small but deadly bear.
TwitchAction_SpawnKillyoteCommand,twitch,Actions,#spawn_killyote
TwitchAction_SpawnKillyote,twitch,Actions,Killyote
TwitchAction_SpawnKillyoteDesc,twitch,Actions,"Spawns a small, fast and deadly coyote."
TwitchAction_SpawnAnacondaCommand,twitch,Actions,#spawn_anaconda
TwitchAction_SpawnAnaconda,twitch,Actions,Anaconda
TwitchAction_SpawnAnacondaDesc,twitch,Actions,Spawns a huge snake
TwitchAction_SpawnLegendaryWolfCommand,twitch,Actions,#spawn_legendary_wolf
TwitchAction_SpawnLegendaryWolf,twitch,Actions,Legendary Wolf
TwitchAction_SpawnLegendaryWolfDesc,twitch,Actions,Spawns a Legendary Wolf Zombie
TwitchAction_SpawnVultureScreamerCommand,twitch,Actions,#agony
TwitchAction_SpawnVultureScreamer,twitch,Actions,Agony
TwitchAction_SpawnVultureScreamerDesc,twitch,Actions,"Spawns a Vulture Screamer that repeatedly spawns enemies until killed"
TwitchAction_SpawnVultureDragonCommand,twitch,Actions,#spawn_vulture_dragon
TwitchAction_SpawnVultureDragon,twitch,Actions,Vulture Dragon
TwitchAction_SpawnVultureDragonDesc,twitch,Actions,Spawns a giant vulture that spits explosives
TwitchAction_SpawnVultureDogCommand,twitch,Actions,#spawn_vulture_dog
TwitchAction_SpawnVultureDog,twitch,Actions,Mad Mutt
TwitchAction_SpawnVultureDogDesc,twitch,Actions,Spawns a flying zombie dog
TwitchAction_SpawnDangerNoodleCommand,twitch,Actions,#spawn_danger_noodle
TwitchAction_SpawnDangerNoodle,twitch,Actions,Danger Noodle
TwitchAction_SpawnDangerNoodleDesc,twitch,Actions,Spawns a single flying snake
TwitchAction_SpawnLegendaryBearCommand,twitch,Actions,#spawn_legendary_bear
TwitchAction_SpawnLegendaryBear,twitch,Actions,Revenant Bear
TwitchAction_SpawnLegendaryBearDesc,twitch,Actions,Spawns a very tough bear
TwitchAction_SpawnCareBearCommand,twitch,Actions,#spawn_care_bear
TwitchAction_SpawnCareBear,twitch,Actions,Care Bear
TwitchAction_SpawnCareBearDesc,twitch,Actions,"Spawns a bear that will heal the player on hit, with side effects ..."
TwitchAction_SpawnLuckyRabbitCommand,twitch,Actions,#spawn_lucky_rabbit
TwitchAction_SpawnLuckyRabbit,twitch,Actions,Lucky Rabbit
TwitchAction_SpawnLuckyRabbitDesc,twitch,Actions,Spawns a single lucky rabbit. Good loot if you can catch it.
TwitchAction_SpawnJackRabbitCommand,twitch,Actions,#spawn_jack_rabbit
TwitchAction_SpawnJackRabbit,twitch,Actions,Jack Rabbit
TwitchAction_SpawnJackRabbitDesc,twitch,Actions,Spawns a particularly aggressive rabbit.
TwitchAction_SpawnGiantRabbitCommand,twitch,Actions,#killer_rabbit_of_caerbannog
TwitchAction_SpawnGiantRabbit,twitch,Actions,Killer Rabbit of Caerbannog
TwitchAction_SpawnGiantRabbitDesc,twitch,Actions,Spawns an enormous and aggressive rabbit.
TwitchAction_SpawnThunderCatCommand,twitch,Actions,#spawn_thunder_cat
TwitchAction_SpawnThunderCat,twitch,Actions,Thunder Cat
TwitchAction_SpawnThunderCatDesc,twitch,Actions,Spawns a mountain lion that shocks the player on hit.
TwitchAction_SpawnKillerKittenCommand,twitch,Actions,#spawn_killer_kitten
TwitchAction_SpawnKillerKitten,twitch,Actions,Killer Kitten
TwitchAction_SpawnKillerKittenDesc,twitch,Actions,Spawns a small but deadly mountain lion.
TwitchAction_SpawnGroupLuckyRabbitsCommand,twitch,Actions,#lucky_rabbits
TwitchAction_SpawnGroupLuckyRabbits,twitch,Actions,Lucky Rabbits
TwitchAction_SpawnGroupLuckyRabbitsDesc,twitch,Actions,Spawns a group of Lucky Rabbits.
TwitchAction_SpawnGroupFlyingSnakesCommand,twitch,Actions,#high_snakes
TwitchAction_SpawnGroupFlyingSnakes,twitch,Actions,High Snakes
TwitchAction_SpawnGroupFlyingSnakesDesc,twitch,Actions,Spawns a group of flying snakes.
TwitchAction_SpawnGroupBatsCommand,twitch,Actions,#itty_bitty_bats
TwitchAction_SpawnGroupBats,twitch,Actions,Bats
TwitchAction_SpawnGroupBatsDesc,twitch,Actions,Spawns a group of bats
TwitchAction_SpawnGroupRaveCommand,twitch,Actions,#teen_rave
TwitchAction_SpawnGroupRave,twitch,Actions,Teen Rave
TwitchAction_SpawnGroupRaveDesc,twitch,Actions,"Spawns a group of unruly teens, and others ..."
TwitchAction_SpawnGroupMaineForestCommand,twitch,Actions,#maine_forest
TwitchAction_SpawnGroupMaineForest,twitch,Actions,Maine Forest
TwitchAction_SpawnGroupMaineForestDesc,twitch,Actions,Spawns a group of hostile animals
TwitchAction_SpawnGroupZooCommand,twitch,Actions,#legendary_zoo
TwitchAction_SpawnGroupZoo,twitch,Actions,Legendary Zoo
TwitchAction_SpawnGroupZooDesc,twitch,Actions,Spawns a group of legendary animals
TwitchAction_SpawnGroupCustomDemosCommand,twitch,Actions,#demolition_derby
TwitchAction_SpawnGroupCustomDemos,twitch,Actions,Demolition Derby
TwitchAction_SpawnGroupCustomDemosDesc,twitch,Actions,Spawns a group of demolitionist zombies. One or two might be faulty.
TwitchAction_SpawnGroupCopsandStrippersCommand,twitch,Actions,#cops_and_strippers
TwitchAction_SpawnGroupCopsandStrippers,twitch,Actions,Cops and Strippers
TwitchAction_SpawnGroupCopsandStrippersDesc,twitch,Actions,"Spawns a group of Cops, Party Girls, and Cop Strippers."
TwitchAction_SpawnGroupPerditionCommand,twitch,Actions,#perdition
TwitchAction_SpawnGroupPerdition,twitch,Actions,Perdition
TwitchAction_SpawnGroupPerditionDesc,twitch,Actions,"Hell is unleashed ..."
TwitchAction_SpawnGroupFurmidableFelinesCommand,twitch,Actions,#furmidable_felines
TwitchAction_SpawnGroupFurmidableFelines,twitch,Actions,Furmidable Felines
TwitchAction_SpawnGroupFurmidableFelinesDesc,twitch,Actions,"Spawns a group of Mountain Lions, Thunder Cats, and Killer Kittens."
TwitchAction_WightFrightCommand,twitch,Actions,#wight_fright
TwitchAction_WightFright,twitch,Actions,Wight Fright
TwitchAction_WightFrightDesc,twitch,Actions,Turns all nearby zombies into zombie Wights.
TwitchAction_BuffPokeCommand,twitch,Actions,#poke
TwitchAction_BuffPoke,twitch,Actions,Poke
TwitchAction_BuffPokeDesc,twitch,Actions,Takes a small amount of health from the player.
TwitchAction_LightHealCommand,twitch,Actions,#warm_hug
TwitchAction_LightHeal,twitch,Actions,Warm Hug
TwitchAction_LightHealDesc,twitch,Actions,Restores a small amount of health to the player.
TwitchAction_EternalBleedingCommand,twitch,Actions,#eternal_bleeding
TwitchAction_EternalBleeding,twitch,Actions,Eternal Bleeding
TwitchAction_EternalBleedingDesc,twitch,Actions,Causes Eternal Bleeding on the player. Can sometimes be remedied by eating roadkill.
TwitchAction_SuddenDeathCommand,twitch,Actions,#sudden_death
TwitchAction_SuddenDeath,twitch,Actions,Sudden Death
TwitchAction_SuddenDeathDesc,twitch,Actions,Causes the player to die instantly from any damage.
TwitchAction_DiamondSkinCommand,twitch,Actions,#diamond_skin
TwitchAction_DiamondSkin,twitch,Actions,Diamond Skin
TwitchAction_DiamondSkinDesc,twitch,Actions,Makes the player much tougher for a short time.
TwitchAction_DegradationCommand,twitch,Actions,#faulty_gear
TwitchAction_Degradation,twitch,Actions,Faulty Gear
TwitchAction_DegradationDesc,twitch,Actions,Weapons and tools will degrade quickly.
TwitchAction_JonahsRageCommand,twitch,Actions,#jonahs_rage
TwitchAction_JonahsRage,twitch,Actions,Jonah's Rage
TwitchAction_JonahsRageDesc,twitch,Actions,Greatly increases the players brawling damage and extends the timer with each hit.
TwitchAction_SmokersLungsCommand,twitch,Actions,#smokers_lungs
TwitchAction_SmokersLungs,twitch,Actions,Smoker's Lungs
TwitchAction_SmokersLungsDesc,twitch,Actions,Greatly reduces the player's stamina.
TwitchAction_SlowReloaderCommand,twitch,Actions,#slow_reloader
TwitchAction_SlowReloader,twitch,Actions,Slow Reloader
TwitchAction_SlowReloaderDesc,twitch,Actions,Greatly increases the time it takes to reload weapons.
TwitchAction_MunchiesCommand,twitch,Actions,#munchies
TwitchAction_Munchies,twitch,Actions,Munchies
TwitchAction_MunchiesDesc,twitch,Actions,"Depletes the player's food and water. Reduces mobility, causes blurred vision, and makes you clumsy."
TwitchAction_ElectrocutedCommand,twitch,Actions,#electrocuted
TwitchAction_Electrocuted,twitch,Actions,Electrocuted
TwitchAction_ElectrocutedDesc,twitch,Actions,Electrocutes the player.
TwitchAction_ClumsyFighterCommand,twitch,Actions,#clumsy_fighter
TwitchAction_ClumsyFighter,twitch,Actions,Clumsy Fighter
TwitchAction_ClumsyFighterDesc,twitch,Actions,Every missed attack causes the player to fall down.
TwitchAction_HardmodeCommand,twitch,Actions,#hard_mode
TwitchAction_Hardmode,twitch,Actions,Hard Mode
